Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Aceh,5554.8,1.39,1.97,98,100.9
Sumatera Utara,15588.5,1.40,5.54,215,100.8
Sumatera Barat,5836.2,1.43,2.07,139,101.5
Riau,6728.1,1.37,2.39,75,104.4
Jambi,3724.3,1.30,1.32,76,103.4
Sumatera Selatan,8837.3,1.15,3.14,102,103.7
Bengkulu,2112.2,1.12,0.75,105,104.4
Lampung,9419.6,1.23,3.34,281,104.3
Kepulauan Bangka Belitung,1531.5,1.36,0.54,92,105.4
Kepulauan Riau,2183.5,1.50,0.78,254,103.3
DKI Jakarta,10684.9,0.31,3.79,16165,101.1
Jawa Barat,50345.2,1.13,17.88,1359,102.6
Jawa Tengah,37892.3,0.99,13.46,1104,101.0
DI Yogyakarta,1759.5,0.65,1.34,1186,97.9
Jawa Timur,41814.5,0.70,14.85,885,99.6
Banten,12431.4,1.18,4.41,1284,103.5
Bali,4414.4,0.75,1.57,763,101.3
Nusa Tenggara Barat,5560.3,1.36,1.97,276,99.8
Nusa Tenggara Timur,5605.1,1.25,1.99,117,98.8
Kalimantan Barat,5541.4,1.20,1.97,38,105.2
Kalimantan Tengah,2741.1,1.60,0.97,18,108.3
Kalimantan Selatan,4182.1,1.14,1.49,111,102.9
Kalimantan Timur,3859.8,1.38,1.37,30,107.6
Kalimantan Utara,739.8,1.80,0.26,10,111.4
Sulawesi Utara,2659.5,0.88,0.94,189,104.8
Sulawesi Tengah,3066.1,1.22,1.09,49,105.1
Sulawesi Selatan,9225.8,0.92,3.28,197,98.1
Sulawesi Tenggara,2701.7,1.34,0.96,71,102.8
Gorontalo,1203.6,1.02,0.43,101,101.9
Sulawesi Barat,1458.6,1.18,0.52,87,101.8
Maluku,1881.7,1.10,0.67,40,102.5
Maluku Utara,1319.3,1.48,0.47,42,105.6
Papua Barat,578.7,1.21,0.21,10,108.2
Papua Barat Daya,627.1,1.30,0.22,16,107.5
Papua,1060.6,1.15,0.38,13,106.8
Papua Selatan,542.1,1.10,0.19,5,108.9
